Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Recovered,Active,Last_Update
South Dakota,US,45.43019636,-100.0307514,5,0,0,5,2020-04-27 2:30:52
Minnesota,US,45.42712824,-96.41403739,2,0,0,2,2020-04-27 2:30:52
Wisconsin,US,45.42372701,-91.84833627,6,0,0,6,2020-04-27 2:30:52
Montana,US,45.42335905,-107.492347,3,0,0,3,2020-04-27 2:30:52
Oregon,US,45.41846568,-119.584546,5,0,0,5,2020-04-27 2:30:52
Oregon,US,45.41501554,-120.6827834,1,0,0,1,2020-04-27 2:30:52
Maine,US,45.40194593,-68.65020455,53,0,0,53,2020-04-27 2:30:52
Wisconsin,US,45.38553432,-88.033246,7,1,0,6,2020-04-27 2:30:52
Michigan,US,45.37790017,-85.19614053,13,1,0,12,2020-04-27 2:30:52
South Dakota,US,45.367281,-97.60737498,0,0,0,0,2020-04-27 2:30:52
Michigan,US,45.34018577,-83.91498656,10,0,0,10,2020-04-27 2:30:52
Oregon,US,45.30915495,-118.0068979,4,0,0,4,2020-04-27 2:30:52
Montana,US,45.30080065,-111.9173017,8,1,0,7,2020-04-27 2:30:52
Minnesota,US,45.2829032,-95.68264092,1,0,0,1,2020-04-27 2:30:52
Minnesota,US,45.27476015,-93.24604565,165,5,0,160,2020-04-27 2:30:52
Oregon,US,45.23330449,-123.3086963,36,6,0,30,2020-04-27 2:30:52
Montana,US,45.22850116,-109.0274047,6,0,0,6,2020-04-27 2:30:52
Oregon,US,45.18787398,-122.2179634,204,6,0,198,2020-04-27 2:30:52
Minnesota,US,45.17297924,-93.96234781,33,1,0,32,2020-04-27 2:30:52
Oregon,US,45.16292781,-121.1670954,12,2,0,10,2020-04-27 2:30:52
Minnesota,US,45.1526059,-95.00586446,35,0,0,35,2020-04-27 2:30:52
Montana,US,45.13434354,-112.8984694,1,0,0,1,2020-04-27 2:30:52
Minnesota,US,45.12328869,-94.52839455,6,0,0,6,2020-04-27 2:30:52
,Croatia,45.1,15.2,2030,55,1103,872,2020-04-27 2:30:33
South Dakota,US,45.07082625,-99.14535601,1,0,0,1,2020-04-27 2:30:52
Wisconsin,US,45.06939744,-91.28068855,20,0,0,20,2020-04-27 2:30:52
Minnesota,US,45.03864533,-92.88429635,113,8,0,105,2020-04-27 2:30:52
Michigan,US,45.03477666,-83.62212411,60,2,0,58,2020-04-27 2:30:52
Wisconsin,US,45.03437474,-92.45000068,13,0,0,13,2020-04-27 2:30:52
Michigan,US,45.0275929,-84.12696227,5,0,0,5,2020-04-27 2:30:52
Wisconsin,US,45.02715345,-88.26807503,7,0,0,7,2020-04-27 2:30:52
Minnesota,US,45.02343421,-95.56403693,2,0,0,2,2020-04-27 2:30:52
Michigan,US,45.02085831,-84.59898295,87,8,0,79,2020-04-27 2:30:52
Minnesota,US,45.01625271,-93.09872295,278,20,0,258,2020-04-27 2:30:52
Maine,US,45.01607142,-67.62813524,2,0,0,2,2020-04-27 2:30:52
Minnesota,US,45.00761521,-93.47694895,1332,177,0,1155,2020-04-27 2:30:52
Wisconsin,US,45.00422544,-88.70950714,1,0,0,1,2020-04-27 2:30:52
Minnesota,US,44.9973857,-96.17488219,1,0,0,1,2020-04-27 2:30:52
Michigan,US,44.99690221,-85.15503082,10,0,0,10,2020-04-27 2:30:52
South Dakota,US,44.97788119,-97.18827677,14,0,0,14,2020-04-27 2:30:52
Maine,US,44.97330019,-70.44381045,27,1,0,26,2020-04-27 2:30:52
Wisconsin,US,44.95856458,-87.30002707,10,1,0,9,2020-04-27 2:30:52
Wisconsin,US,44.94562799,-91.8962481,9,0,0,9,2020-04-27 2:30:52
Michigan,US,44.94430054,-85.80150326,9,0,0,9,2020-04-27 2:30:52
Idaho,US,44.9438088,-113.9309747,1,0,0,1,2020-04-27 2:30:52
South Dakota,US,44.93837606,-98.34626602,3,0,0,3,2020-04-27 2:30:52
South Dakota,US,44.90608745,-103.5079318,0,0,0,0,2020-04-27 2:30:52
Oregon,US,44.90322804,-123.4128888,38,1,0,37,2020-04-27 2:30:52
Oregon,US,44.90287942,-122.5815117,436,15,0,421,2020-04-27 2:30:52
Wisconsin,US,44.89792533,-89.75863384,18,1,0,17,2020-04-27 2:30:52
Idaho,US,44.89333571,-116.4545247,3,0,0,3,2020-04-27 2:30:52
South Dakota,US,44.85834507,-97.72925109,1,0,0,1,2020-04-27 2:30:52
Vermont,US,44.85627605,-72.91249563,91,5,0,86,2020-04-27 2:30:52
Vermont,US,44.82964024,-72.24562697,9,0,0,9,2020-04-27 2:30:52
Minnesota,US,44.82367677,-94.27287017,3,0,0,3,2020-04-27 2:30:52
Minnesota,US,44.82017001,-93.8009918,17,0,0,17,2020-04-27 2:30:52
Vermont,US,44.7975824,-73.29679772,3,0,0,3,2020-04-27 2:30:52
Wyoming,US,44.79048913,-106.8862389,16,0,0,16,2020-04-27 2:30:52
Wisconsin,US,44.78902246,-88.76443896,8,0,0,8,2020-04-27 2:30:52
Idaho,US,44.76728382,-115.5676773,2,0,0,2,2020-04-27 2:30:52
South Dakota,US,44.75994309,-96.66943645,1,0,0,1,2020-04-27 2:30:52
New York,US,44.74530905,-73.67875352,57,4,0,53,2020-04-25 0:00:00
Wisconsin,US,44.73483377,-90.61207486,19,1,0,18,2020-04-27 2:30:52
Minnesota,US,44.72836381,-94.94553734,3,0,0,3,2020-04-27 2:30:52
Vermont,US,44.72736416,-71.73579864,2,0,0,2,2020-04-27 2:30:52
Wisconsin,US,44.726614,-91.28609183,25,0,0,25,2020-04-27 2:30:52
Wisconsin,US,44.71850291,-92.4224416,9,0,0,9,2020-04-27 2:30:52
Minnesota,US,44.71710183,-95.86842453,3,0,0,3,2020-04-27 2:30:52
South Dakota,US,44.71571812,-100.1278092,1,0,0,1,2020-04-27 2:30:52
Michigan,US,44.69565625,-85.55585247,19,5,0,14,2020-04-27 2:30:52
New Hampshire,US,44.69063265,-71.30633239,2,0,0,2,2020-04-27 2:30:52
Michigan,US,44.68512729,-85.09085699,17,2,0,15,2020-04-27 2:30:52
Michigan,US,44.6846864,-83.59507875,3,0,0,3,2020-04-27 2:30:52
Michigan,US,44.68255561,-84.61006219,46,3,0,43,2020-04-27 2:30:52
Michigan,US,44.68192279,-84.12939244,4,0,0,4,2020-04-27 2:30:52
South Dakota,US,44.67385954,-97.18829593,2,0,0,2,2020-04-27 2:30:52
Minnesota,US,44.67172617,-93.06299363,143,7,0,136,2020-04-27 2:30:52
Minnesota,US,44.6490231,-93.53340251,32,1,0,31,2020-04-27 2:30:52
Oregon,US,44.64252874,-123.869912,5,0,0,5,2020-04-27 2:30:52
Michigan,US,44.63899297,-86.01608482,4,0,0,4,2020-04-27 2:30:52
